
# Curve 0 of 1, 200 points
# Curve title: "(x**3/(exp(x)-1))/1"
# x y type
0.00000 0.00000  u
0.05025 0.00246  i
0.10050 0.00960  i
0.15075 0.02106  i
0.20101 0.03648  i
0.25126 0.05553  i
0.30151 0.07789  i
0.35176 0.10325  i
0.40201 0.13130  i
0.45226 0.16176  i
0.50251 0.19436  i
0.55276 0.22884  i
0.60302 0.26494  i
0.65327 0.30243  i
0.70352 0.34109  i
0.75377 0.38068  i
0.80402 0.42102  i
0.85427 0.46192  i
0.90452 0.50317  i
0.95477 0.54463  i
1.00503 0.58612  i
1.05528 0.62750  i
1.10553 0.66862  i
1.15578 0.70936  i
1.20603 0.74959  i
1.25628 0.78919  i
1.30653 0.82807  i
1.35678 0.86613  i
1.40704 0.90328  i
1.45729 0.93945  i
1.50754 0.97455  i
1.55779 1.00853  i
1.60804 1.04133  i
1.65829 1.07290  i
1.70854 1.10319  i
1.75879 1.13217  i
1.80905 1.15981  i
1.85930 1.18607  i
1.90955 1.21094  i
1.95980 1.23440  i
2.01005 1.25644  i
2.06030 1.27705  i
2.11055 1.29623  i
2.16080 1.31399  i
2.21106 1.33032  i
2.26131 1.34524  i
2.31156 1.35876  i
2.36181 1.37090  i
2.41206 1.38166  i
2.46231 1.39108  i
2.51256 1.39917  i
2.56281 1.40597  i
2.61307 1.41148  i
2.66332 1.41576  i
2.71357 1.41882  i
2.76382 1.42070  i
2.81407 1.42142  i
2.86432 1.42103  i
2.91457 1.41956  i
2.96482 1.41705  i
3.01508 1.41352  i
3.06533 1.40902  i
3.11558 1.40359  i
3.16583 1.39726  i
3.21608 1.39006  i
3.26633 1.38204  i
3.31658 1.37324  i
3.36683 1.36369  i
3.41709 1.35342  i
3.46734 1.34248  i
3.51759 1.33090  i
3.56784 1.31872  i
3.61809 1.30597  i
3.66834 1.29269  i
3.71859 1.27891  i
3.76884 1.26467  i
3.81910 1.24999  i
3.86935 1.23492  i
3.91960 1.21947  i
3.96985 1.20369  i
4.02010 1.18760  i
4.07035 1.17123  i
4.12060 1.15461  i
4.17085 1.13777  i
4.22111 1.12073  i
4.27136 1.10351  i
4.32161 1.08615  i
4.37186 1.06867  i
4.42211 1.05108  i
4.47236 1.03342  i
4.52261 1.01570  i
4.57286 0.99794  i
4.62312 0.98016  i
4.67337 0.96238  i
4.72362 0.94462  i
4.77387 0.92690  i
4.82412 0.90922  i
4.87437 0.89161  i
4.92462 0.87408  i
4.97487 0.85664  i
5.02513 0.83930  i
5.07538 0.82209  i
5.12563 0.80500  i
5.17588 0.78806  i
5.22613 0.77126  i
5.27638 0.75462  i
5.32663 0.73815  i
5.37688 0.72186  i
5.42714 0.70575  i
5.47739 0.68983  i
5.52764 0.67410  i
5.57789 0.65858  i
5.62814 0.64326  i
5.67839 0.62816  i
5.72864 0.61327  i
5.77889 0.59860  i
5.82915 0.58415  i
5.87940 0.56993  i
5.92965 0.55594  i
5.97990 0.54218  i
6.03015 0.52865  i
6.08040 0.51535  i
6.13065 0.50229  i
6.18090 0.48947  i
6.23116 0.47687  i
6.28141 0.46452  i
6.33166 0.45240  i
6.38191 0.44051  i
6.43216 0.42886  i
6.48241 0.41744  i
6.53266 0.40626  i
6.58291 0.39531  i
6.63317 0.38458  i
6.68342 0.37408  i
6.73367 0.36381  i
6.78392 0.35377  i
6.83417 0.34394  i
6.88442 0.33433  i
6.93467 0.32495  i
6.98492 0.31577  i
7.03518 0.30681  i
7.08543 0.29806  i
7.13568 0.28951  i
7.18593 0.28117  i
7.23618 0.27303  i
7.28643 0.26508  i
7.33668 0.25734  i
7.38693 0.24978  i
7.43719 0.24241  i
7.48744 0.23523  i
7.53769 0.22823  i
7.58794 0.22141  i
7.63819 0.21476  i
7.68844 0.20829  i
7.73869 0.20199  i
7.78894 0.19585  i
7.83920 0.18987  i
7.88945 0.18406  i
7.93970 0.17840  i
7.98995 0.17290  i
8.04020 0.16754  i
8.09045 0.16234  i
8.14070 0.15727  i
8.19095 0.15235  i
8.24121 0.14756  i
8.29146 0.14291  i
8.34171 0.13839  i
8.39196 0.13400  i
8.44221 0.12973  i
8.49246 0.12559  i
8.54271 0.12157  i
8.59296 0.11766  i
8.64322 0.11387  i
8.69347 0.11019  i
8.74372 0.10661  i
8.79397 0.10315  i
8.84422 0.09978  i
8.89447 0.09652  i
8.94472 0.09335  i
8.99497 0.09028  i
9.04523 0.08730  i
9.09548 0.08441  i
9.14573 0.08161  i
9.19598 0.07890  i
9.24623 0.07627  i
9.29648 0.07372  i
9.34673 0.07125  i
9.39698 0.06886  i
9.44724 0.06654  i
9.49749 0.06429  i
9.54774 0.06212  i
9.59799 0.06001  i
9.64824 0.05797  i
9.69849 0.05599  i
9.74874 0.05408  i
9.79899 0.05223  i
9.84925 0.05044  i
9.89950 0.04870  i
9.94975 0.04703  i
10.00000 0.04540  i

